,Unnamed: 0,POPESTIMATE2019,FIPS
1090,1090,11195,21159.0
1091,1091,17070,21161.0
1092,1092,28572,21163.0
1093,1093,6489,21165.0
1094,1094,21933,21167.0
1095,1095,10071,21169.0
1096,1096,10650,21171.0
1097,1097,28157,21173.0
1098,1098,13309,21175.0
1099,1099,30622,21177.0
1100,1100,46233,21179.0
1101,1101,7269,21181.0
1102,1102,23994,21183.0
1103,1103,66799,21185.0
1104,1104,10901,21187.0
1105,1105,4415,21189.0
1106,1106,14590,21191.0
1107,1107,25758,21193.0
1108,1108,57876,21195.0
1109,1109,12359,21197.0
1110,1110,64979,21199.0
1111,1111,2108,21201.0
1112,1112,16695,21203.0
1113,1113,24460,21205.0
1114,1114,17923,21207.0
1115,1115,57004,21209.0
1116,1116,49024,21211.0
1117,1117,18572,21213.0
1118,1118,19351,21215.0
1119,1119,25769,21217.0
1120,1120,12294,21219.0
1121,1121,14651,21221.0
1122,1122,8471,21223.0
1123,1123,14381,21225.0
1124,1124,132896,21227.0
1125,1125,12095,21229.0
1126,1126,20333,21231.0
